class,text,language
2,"Ọ bụ ya bụ onye kasị mara akwụkwọ m hụtụrụla ebe a, nwanyị dị nnọọ azụ na onye nzuzu bi n'oge gara aga, na-ekwu ihe na-adịghị mma banyere okpukpe ọ na-amaghị ihe ọ bụla banyere.",igbo
1,Hahahahaha... Badt guy!,english
2,"Ndị a na-achị Hausa bụ ndị ajọ omume na ndị na-achọ ọdịmma onwe ha nanị, ị na-agwọ ndị gị ụbụrụ mgbe ị na-eziga ụmụ gị mba ọzọ ebe ha na-amụta ọtụtụ ihe ma e wezụga nkuzi Arabic gị.",igbo
1,: Every smart person playing dumb should be called...has Gumi met those who are agitating for Biafra &amp; Oodua Republic?,english
0,": lol 😂 ko da yake yana da 2 am, dole ne in tafi gida, mutane dey mamaki, Allah ya kasance haka m",hausa
1,God punish ur father &amp; ur prostitute mother like Nengi.. it’s only a dog 🐕 like ur girl that will open her dirty mouth 👄 &amp; day shenanigans here.. when Nengi has showed her real identity Fucker LINK,english
1,"Anambra gaba daya suna da 'yan kasuwa, suna magana ne game da 'yan kasuwa, 'yan kasuwa suna kula da kuɗin ku, ba su damu da inda kuka fito ba.",hausa
1,"Kada ka kashe kanka ko ka ɗauki wani abu na sirri, ba zan yi magana a kan mace ba kuma ba na bukatar tabbacin kowa don in zama wanda na zaɓa in zama.",hausa
0,"There's no place in the Bible that states Christians shouldn't eat pig. Despite that, discouraging homosexuality is not the same as hating homosexuals. In fact, all true Christians should love LGBTQ people. Christ didn't turn away 'the adulterous' woman.",english
2,"Ọ̀gbẹ́ni mazi Nnamdi Kanu jẹ́ ẹlẹ́wọ̀n ẹ̀rí ọkàn, ó sì gbọ́dọ̀ tú òun sílẹ̀ láìnídìí nínú ẹ̀wọ̀n ẹ̀rí ìjọba ọlọ́pàá nítorí pé ó ń ṣètìlẹ́yìn fún àwọn apániláyà tó ń pa àwọn ọmọ orílẹ̀-èdè Nàìjíríà láìnídìí",yoruba
0,Sharout ga 'yan niggers na gaskiya...,hausa
1,Dole ne gwamnatin da ta gabata ta sace kasafin kudin.,hausa
0,Little Brother... wani midfield maestro 💪💪  LINK,hausa
1,You are a mumu you don't have anything to contribute so typed this 🤦🏽‍♂️,english
0,Ratio🙏🏾,english
0,"Gbogbo ohun tí mo bá ń ṣe báyìí, ó ní láti ní ìdí kan tó fi ń ṣe é.",yoruba
0,"Ihe a Davido kwuru, ihe ndị m na-ahụ na-eme ka m na-eche otú ụmụ mmadụ si eche echiche, ha na-akpa ọchị 😭😂😂",igbo
2,Ndị Naịjirịa bụ ndị okpukpe ihu abụọ na-efe Chineke na Ndị Kraịst na-enweghị anụ ha ga-eji na-ere ya kama ha ga-eji na-ere ya na-ere ya.,igbo
1,"Orji kalu jẹ malu, ọ̀daràn àti ọmọ ọ̀daràn.",yoruba
0,"-Qalau *2,ya kike",igbo
1,O ti di alagbákò bí o bá rò pé Buhari yóò dìbò fún Igboman tí ipò rẹ bá yí padà.,yoruba
2,"Na yi nadamar idan ya same ka amma ta hanyar  kai lalata  Ina magana ne game da iPob kashe wani Igbo dangi, Igbo mutum kokarin da wuya ya kawo wani Igbo mutum, kamar wani Igbo mutum ikirarin zama shugaban Labour Party ba Peter Obi, yanzu INEC kawai gane Obi s Labour Party",hausa
2,Ka kawai kama Hunter kuma kana da'awar cewa kana da aka kama fulani makiyaya abin da irin wannan wauta zama saboda babu wani al'amari fulani da karnuka,hausa
2,Waɗannan su ne irin mutanen arewa da muke nufi ... .. babun da aka wanke kwakwalwa,hausa
0,Same LINK,english
1,"Ka lura cewa za a soke asusunka... ka faɗi abubuwa da yawa marasa ma'ana, kuma ba ma son ka haifar da yakin kabilanci a wannan ƙasa, mutane da yawa sun girmama ka amma yanzu ka nuna yadda kake da gaske",hausa
0,Ka gaya musu su daina karya umarnin kotu ...,hausa
2,"If it's a boy, he's a King
If it's a girl, she's a hoe",english
2,Ụgha .. Ya mere ị na-atụ anya gị nwoke nwoke nwoke na-akpakọrịta nwoke na nwaanyị ọ bụ?,igbo
0,"""Masu ƙin cutar"".",hausa
1,kamar yadda Northern babban barayi.,hausa
0,Onyenweanyị bụ ike gị.,igbo
1,"ó kéré tán, ó ní àwọn ọmọ orílẹ̀ - èdè míì tó ń gbé nílùú náà, ó sì ní àwọn ọmọ orílẹ̀ - èdè míì tó ń gbé nílùú náà.",yoruba
1,"Me yasa jarumin ka kanu yake kuka lokacin da ya ga manyan yara maza na arewa suna tuka BUGATTI a Abuja cewa gabas ba ta da ruwa don sha amma arewa tana amfani da kuɗin man fetur don jin daɗi, wanda yanzu ya tsaya 😂😂😂 mumu",hausa
1,""": A relationship does not stop a slut from being a slut.""",english
2,*haaa broke Ass bastard filthy shitty bum hole... Gay swine go fuck a whale mustard.... Smelly rusty teeth,english
2,"..amma wawaye Gwamnoni &amp; Elite na arewa ba za su koyi! su sinister nufi ya lalata da kwakwalwarsu! saboda sun yi nufin amfani da wadanda bandit &amp; bokoharam tuba ga Fulanization manufa! godiya ga Allah,. shi ne duk fadowa baya a kan su! &gt;&gt;",hausa
0,Wannan shi ne abin da ya faru.,hausa
2,Yaya nake da komai a kan komai,hausa
2,"A'a, ina jin dadin ganni. wadannan furans suna da daji. ba su cancanci wani ladabi, suna da barbaric a hanyoyi &amp; brains.",hausa
1,Wannan shi ne abin da AfroCandy ke faɗi game da Yoruba Boys da kuma D**k - LOL!... LINK,hausa
0,"Na soke kuma na nemi wani, omo na yi fushi sosai oo, ina kawai zaginsa kuma har yanzu na aika masa da sako mai cin mutunci 😂😂😂😂",hausa
2,Aboki enwe ci gaba da fallasa kanka 'yan fashi suna kashe mutanenku upandan amma mutumin Igbo shine matsalar ku,hausa
2,"you cares more about Mali why fulanis are busy killing people in Nigeria.
 LINK",english
2,"Enwere m mmasị na ndị Northerners maka otu ihe, ha bụ 2000% na-eguzosi ike n'ihe nye onwe ha... ndị Southerners karịrị Sabi na-etolite mgbe niile na-agụ akwụkwọ nke ukwuu &amp; apos; bụghị United",igbo
0,The list is endless.. They see bad administration and bad country. We and the investors- see good country with good people. Nigeria must rise again. LINK,english
2,"àwọn obìnrin ni àwọn alágàbàgebè tó ga jù lọ láyé àtijọ́, gbogbo àwọn ẹ̀dá yìí ni nítorí pé kò sí ohun tó yí wọn ká.",yoruba
1,O ti wa ni aibalẹ nipa sisọ rẹ agbegbe ati kidnapping ni kanna gbolohun. O ṣeun si Ọlọrun Day o talaka ti o ko ba fun won don kidnapping o gan fun wipe ẹgbẹ rẹ,yoruba
0,Duba idan ozo da Nengi ba su zauna tare na dogon lokaci eeeh za su ci yarinya raw😂😂😂😂,hausa
2,"Wannan mummunan abu ne, kuma abin takaici ne cewa sojojin suna taimaka wa 'yan ta'adda Fulani masu kisan kai da ke yin sutura a matsayin makiyaya.",hausa
2,Abin ban dariya!,hausa
0,ní àkókò yìí: ẹ má ṣe dara pọ̀ mọ́ ẹnikẹ́ni láti hùwà ìkà sí àwọn igbo. ẹ má ṣe dara pọ̀ mọ́ ẹnikẹ́ni láti hùwà ìkà sí àwọn hausas. ẹ má ṣe dara pọ̀ mọ́ ẹnikẹ́ni láti hùwà ìkà sí àwọn yorubas. wọn yóò gbìyànjú láti yí wa padà sí ara wọn. wọn yóò lo ẹ̀yà àti ẹ̀yà àtọ̀tọ̀tọ̀tọ̀ láti mú wa kọlu ara wa. ẹ jọ̀wọ́ má ṣe jẹ́ kí wọ́n ṣẹ́gun,yoruba
1,Ina tsani sosai a cikin liessssssssssssss!!!!!!!!!,hausa
2,"They shoot into the air when it's Fulani jihades terrorists, but will shoot point blank on peaceful protesters. Terrorists in uniform",english
0,Mo fi fọto tuntun kan ranṣẹ si Facebook LINK,yoruba
1,Na san yadda suke da amfani a daren da suka ba su 1.08 kuma na yi 10k don cin nasara a kan Venezuela 🇪 kuma sun iya kawai gudanar da Draw,hausa
0,"How to use VPN

👉Download any FREE VPN
👉Choose any country you like
👉Tap connect
👉Click get later
👉Then Start Tweeting Gen. Buhari and  and Fulani Stupidity.

Awon Eranko lasan lasan can't make make ,  their Slave.

If you need info?
Tweet it HERE! LINK",english
0,one person followed me // automatically checked by LINK,english
2,Mata ƙazanta ne😢,hausa
2,"ìṣòro náà kì í ṣe ti àwọn ará àríwá, ìṣòro náà ni ti àwọn ará àríwá tí wọ́n ń fi ìsìn ṣáájú aráyé. ìṣèlú yìí kì í ṣe eré kan, ó sì ṣeni láàánú pé àwọn ẹ̀yà àríwá tó ń ṣe eré ìnàjú tó mọ́gbọ́n dání ju àwọn ẹ̀yà àríwá àtàwọn ẹ̀yà yòókù lọ. ṣùgbọ́n a mọ̀ pé a lè ràn wá lọ́wọ́ gbogbo wa.",yoruba
2,"Nigeria enweghị ike ịrụkọ ọrụ ọnụ ndị ndọrọndọrọ ọchịchị ekewaala mba ahụ tupu gị na ọ dịghị ihe ị ga-eme. Ndị ugwu adịghị njikere ịga n'ihu mana ị na-amanye ha, ha kpọrọ agụmakwụkwọ asị. Maitasini na 60s ugbu a bokoharam. Ị dịghị ahụ ọdịnihu m na-aṅụ iyi",igbo
1,Koulibaly babban wawa ne... Na ce da zuciyata.,hausa
0,Ndị a chọrọ imecha ihe niile na Southern Niger...,igbo
0,"Iwon ba ni idi ma n to bi'

I hope my Yoruba is correct 😀",english
1,"èmi náà jẹ́ ọmọ ígbo, o sì jẹ́ òmùgọ̀ gan - an pé o ń pe onye ara. ó tọ́, o sì ní láti bójú tó ohun tó sọ. òmùgọ̀.",yoruba
0,Onye ohi ekwentị a ma ama na-egbu nwanyị na Abuja  More Naija LINK A na-ejide onye ohi ekwentị dị afọ 20 a maara dị ka Danladi Abubakar maka ịbọrọ nwanyị a na-amaghị aha ya agbanyeghị mgbe ọ napụrụ ekwentị ya na Kasuwa-Dere na mpaghara Gwagwalada nke ...,igbo
2,": ""Dogs &amp; Baboons will be soaked in blood if I lose""
~We made him President

""Defend yourselves from Fulani herdsmen""
~D…",english
1,"Idan saurayinka ya share sakonninsa kafin ya ba ka wayarsa, saurayinka ba shi da daraja"".",hausa
1,Yakubu Gowon tó ta àwọn èèyàn rẹ̀ fún àwọn apaniyan wọn nítorí agbára tó ń kọjá lọ.,yoruba
0,"Ịkwụwa aka ọtọ na àgwà ọma na-eme ka mmadụ nwee obi ike. Ịkwụwa aka ọtọ n'ebe onwe ya nọ na-eme ka akọ na uche dị ọcha, ọ na-emekwa ka mmadụ nwee nkwanye ùgwù na-akasi obi mgbe ọ bụla ọ na-ele anya n'enyo iji hụ ihe e ji mee ya.",igbo
1,"Kai maƙaryaci ne ka bar jam'iyyar saboda ka yi mugun aiki, batun tikitin Musulmi / Musulmi bai zo ba a lokacin.",hausa
0,Ị̀ na-ekwu eziokwu???,igbo
0,Rochas Okoracha ya soki gwamnonin Arewa kan hana almajirci. Ya ce ba ya goyon bayan kulle makarantun allo. LINK,hausa
1,"Obìnrin Mùsùlùmí sọ pé a sọ fún un pé kó ""mú aṣọ tí ó léwu yẹn kúrò ní orí òun""...",yoruba
2,"Igbo is most foolish tribe in the world, according to Uwazuruike. Do you also agree to this? Most of you just come online after getting daily 10mb from network providers to throw tribal slurs. Idiot. LINK",english
0,Ọmọbìnrin Fulani / Chad  Àkọlé àwòrán Àkọlé àwòrán Àkọlé àwòrán Àkọlé àwòrán Àkọlé àwòrán Àkọlé àwòrán Àkọlé àwòrán Àkọlé àwòrán Àkọlé àwòrán Àkọlé àwòrán Àkọlé àwòrán Àkọlé àwòrán Àkọlé àwòrán Àkọlé àwòrán Àkọlé àwòrán Àkọlé àwòrán Àkọlé àwòrán Àkọlé àwòrán Àkọlé àwòrán Àkọlé àwòrán Àkọlé àwòrán Àkọlé àwòrán Àkọlé àwòrán Àkọlé àwòrán Àkọlé àwòrán Àkọlé àwòrán Àkọlé àwòrán Àkọlé àwòrán Àkọlé àwòrán Àkọlé àwòrán Àkọlé àwòrán Àkọlé àwòrán Àkọlé àwòrán Àkọlé àwòrán Àkọlé àwòrán Àkọlé àwòrán Àkọlé àwòrán Àkọlé àwòrán Àkọlé àwòrán Àkọlé àwòrán Àkọlé àwòrán Àkọlé àwòrán Àkọlé àwòrán Àkọlé àwòrán Àkọlé àwòrán Àkọlé àwòrán Àkọlé àwòrán Àkọlé àwòrán Àkọlé àwòrán Àkọlé àwòrán Àkọlé àwòrán Àkọlé àwòrán Àkọlé àwòrán Àkọlé àwòrán Àkọlé àwòrán Àkọlé àwòrán Àkọlé àwòrán Àkọlé àwòrán,yoruba
1,"ẹ má ṣe ṣe jẹ́ kí àwọn òǹrorò yìí máa ṣe ohun tí kò dáa, ẹ máa ṣe ohun tí kò dáa, ẹ máa ṣe ohun tí kò dáa, ẹ máa ṣe ohun tí kò dáa, ẹ máa ṣe ohun tí kò dáa, ẹ máa ṣe ohun tí kò dáa, ẹ máa ṣe ohun tí kò dáa, ẹ máa ṣe ohun tí kò dáa, ẹ máa ṣe ohun tí kò dáa, ẹ máa ṣe ohun tí kò dáa, ẹ máa ṣe ohun tí kò dáa, ẹ máa ṣe ohun tí kò dáa, ẹ máa ṣe ohun tí kò dáa, ẹ máa ṣe ohun tí kò dáa, ẹ máa ṣe ohun tí kò dáa, ẹ máa ṣe ohun tí kò dáa, ẹ máa ṣe ohun tí kò dáa, ẹ máa ṣe ohun tó burú.",yoruba
0,Ka yi tunani game da wannan.,hausa
2,Ọmọkùnrin tí ó jẹ́ ọmọdékùnrin kan tó ń gbé ní Yoruba àti ọmọ Obi ní ilẹ̀ Igbo ni.,yoruba
2,cos dis hoes don't giv sex for free except u are wizkid so y giv dem tips for free,english
0,: A hausa man will not cheat you simply because you don't understand his language or practice his religion!🧏‍♂️,english
0,"Fulani Shepherdmen sun kai hari ga wata al'umma ta Benue, sun kashe 15 LINK",hausa
1,"A kì í ṣe ẹni tí ń ṣe àdàkàdekè, a máa ń ṣe ara wa lọ́nà tó dára, àmọ́ a kì í fi àkókò ṣeré fún àwọn èèyàn.",yoruba
2,Ina mamakin irin mutumin da ya haifi duk wadannan 'yan arewa! 'Yan uwan su da' yan'uwansu suna kisan gashin tsuntsu ne daga Boko Haram kuma har yanzu ka ga mafi yawansu suna kare Buhari da Boko Haram! irin wannan kabilanci mai banƙyama!,hausa
0,"Maryamu, shin kin yi hakan?",hausa
1,"O jẹ ẹlẹ́tàn o fi ẹgbẹ́ náà sílẹ̀ nítorí àbáwọ́ rẹ̀ tí kò dára, ìṣòro tí àwọn Mùsùlùmí ń ṣe kò wá sókè nígbà yẹn.",yoruba
2,"Ọbụna aha gị ""Dauda"" akọwaala na ị nweghị ụbụrụ Ndị Europe chere na Ndị Kraịst ga-eji aka ha gbuo mmadụ ebe ndị Arab chere na ndị Alakụba ga-eji aka ha gbuo mmadụ ma bibie ya.",igbo
2,"Ọ dị mwute na ụlọ akwụkwọ ndị dị n'Almajiri nke oge a bụ ndị ọkasị mma ya, bụ́ Pres. Goodluck E. Jonathan, rụrụ n'Ebe Ugwu, ha jụrụ ya, ebe anyị anụbeghị na e ji ya mee ihe, nanị iji na-akpasu ndị nọ n'afọ iri na ụma iwe ma na-emegbu ha, ma nọgide na-eji amaghị ihe ha mere eme ihe dị ka ndị omempụ ndọrọ ndọrọ ọchịchị.",igbo
1,Bó o bá rò pé àwọn obìnrin tí kò lè ṣe èyí kò ní jẹ́ kó o di òmùgọ̀ tó ń hùwà òmùgọ̀.,yoruba
0,"Ọ dịghị Igbos, Yorubas ma ọ bụ Hausas na-agbalị ịmalite agha.",igbo
0,"Ọ dị mma, ha ga-eme nke ọma. dị ka m kwuru azụmahịa a. Ọ dịghị ihe ọzọ. Ọ bụrụ na m rere ala m ma ọ bụ ihe nketa ezinụlọ ala gị. Ọ na-aghọ urs. Ọ dịghị ihe na-echegbu SG. Ọ bụrụ na ha pock-ọbụ imi too much. Gaa n'ụlọikpe. Ị ga-enweta ikpe ziri ezi. Nigerians dị njikere na-eduzi ziri ezi azụmahịa na fulani si",igbo
2,They made them their hoe 😂 LINK,english
0,Wata mata a Florida ta haifi jariri kwanaki 9 da wuri a karfe 9:09 na safe a ranar 9-9-09.,hausa
1,"Onye oshi "": Bwahahahaha: igbo-thief: Biko, gịnị bụ okwu Igbo maka onye ohi?""",igbo
2,Naanị ndị na-ese ihe na-apụta bụ Lucky Dube na nke ahụ bụ nanị ihe nketa unu nwere.,igbo
1,"Àwọn ọmọdé ní ààfin d'obas ń sọ èdè yorùbá dáadáa... nítorí náà, ètò àwọn nǹkan ti kú, ìjọba kò ní láárí",yoruba
1,"Lmao the stupidity, I am 6ft 3 inches tall, athletic and i lift weights yet i cannot go out for a walk by 2 am not cos of my gender but the insecurity in Nigeria cannot differentiate between a man and a woman, you dumwit. LINK",english
2,Kowace rana suna da ƙazanta,hausa
1,Just annoying couples.,english
0,Bụrụnụ Ndị Kraịst Beroịa!,igbo
0,Good luck a gare ni,hausa
1,"Ba wanda ya gaya wa tsohon wawa Nada, wanda kudancin kudu zai kasance tare da wawaye retarded halittu na irinsa?",hausa
0,": Ya Allah Save Geidam ati gbogbo Ummah.Ya Allah dáàbò bo awọn ọdọ, awọn ọmọde, awọn obinrin, awọn ọkunrin ati gbogbo eniyan. 😭😭😭😭😭 O ni inde...",yoruba
0,"Yálà ogun ló fa ìṣòro náà, àjálù àyíká ló fa ìṣòro náà, àwọn obìnrin àtàwọn ọmọbìnrin ló máa ń jìyà jù lọ - Irina Bokova, Dir-Gen",yoruba
0,": A Real Girlfriend: Calls you for NOTHING , texts you alll the time, wants to see you, cries, gets jealous, is over- ...",english
2,Shin kun karanta sashin da ya ce wadanda aka kashe ba makiyaya ne ba amma 'yan ta'adda ne masu garkuwa da mutane?,hausa
0,Ina neman in nuna maka yadda ka ke yin bikin da tutar Biafra zan taya ka murna kana son wani wanda ya wakilci Naija a tawagar kasa ya tashi tutar Biafra kana bukatar taimako,hausa
1,"Ị na-akparị agbụrụ Yoruba site n'ikwu na nwoke ahụ bụ ""onye kasị mara ihe"" ma ndị Yoruba idiots na-akparị gị.",igbo
1,"N'ezie m na-agwa gị eziokwu. ị bụ oké ihere, a kpam kpam ọdịda, kasị njọ nke niile president na akụkọ ihe mere eme nke Nigeria. ị bụ a oké wayo na ị kwesịrị mkpọrọ n'ihi na ihe i mere mba a. Chai na onye anyị na-akpasu iwe na? na niile kwesịrị nsọpụrụ Chineke ga-ata gị ahụhụ.",igbo
1,"He was actually right.
So u shut the fuck up.",english
0,Ị pụrụ ịbụ na ị na-akpata nchegbu na-edozibeghị taa banyere bou ... More maka Leo Link,igbo
0,"Nwa m , ọ bụ ihe ọjọọ .",igbo
0,so you ganged up against the CJN??????you got me disappointed......never will I trust you,english
1,O máa ń ṣí Twitter lójoojúmọ́ kó o lè rí ohun tí kò tọ́ yìí.,yoruba
0,"Partey tax.. lokonga is already showing glimpses of being a top midfielder in 2-3 years but partey, I don't even see anything elite in him",english
1,Ku mutane da duk wannan tunanin ku na tunanin ku 👏 Awon Oniro Oshi... da wannan rubutun wauta wanda yake sa wani ya ji ciwon kai.,hausa
0,"Biko, biko, mgbe ndị Fulani na ndị Birom ga-abụ ndị amaala?",igbo
0,Trending Nationwide/U.K [New Music]  LINK by  LINK LINK,english
2,Na yi matukar takaici da matasan Sokoto da Katsina da ke zanga-zangar. 'Yan bindiga suna kashe dubban Arewa tsawon shekaru 6 ba ku yi zanga-zanga ba amma kuna son zuwa zanga-zanga don SARS. Wannan wauta ce da wauta.,hausa
2,"Àwọn obìnrin ní Nàìjíríà tí wọ́n ní èrò òmùgọ̀ yìí, tí o bá ti ní kí wọ́n jáde, o ò ní jẹ́ kí wọ́n jẹ́ gbèsè fún ọ.",yoruba
0,Haka ne 'yar'uwa,hausa
2,Don haka ka yi zaton 'yan fashi ne almajiri ne? A'a!,hausa
0,"Matter of fact, if u do, ur jus gay",english
2,Kí o má ṣe fi ọmọbìnrin burúkú kan ṣe àpò ìhòòhò bí ẹ̀yà mi tí kò ní ìbọn,yoruba
1,"Fuck nke a bụ 3mohhn...Ikwụsị na girl bụ nnọọ ihe ọjọọ, na-akparị ya a nkọcha ọ bụ ezie na mere ka ọ na-emegbu emegbu ma a igbu nke gị mgbalị na-aza a nkịtị ala klas onye nzuzu dị ka ya",igbo
2,Ndị omekome ma ọ bụ ndị omekome? ndị na-agba egbe na-amaghị ama Ndị na-agba egbe Bokoharam Fulani ndị na-eyi ọha egwu Obadiah Mailafia kwuru na ha na-akpụgharị steeti 36 niile n'oge mkpọchi Covid-19... DSS abaghị uru nye ihe a kpọrọ mmadụ.,igbo
2,You’re not different from the age goat who called himself the president of this great nation. Yoruba hypocrites,english
2,Àwọn Fulani tí kò jẹ̀bi ní ti gidi... òmùgọ̀ ọ̀mùgọ̀... ó ṣeé ṣe kí bàbá àti ìyá wọn ló dá àwọn ìwà ìkà yìí... Maluu!,yoruba
0,Unu ụmụ nwanyị na-ekweghị na anyị enweghị enyi nwanyị ugbu a.,igbo
1,How do you want him to do it ? He’s useless. LINK,english
0,ya kike,igbo
0,"Oga zaddy, ci gaba da yin semo a saman kai a yau da dare",hausa
2,"Ka ga dattijan Fulani da Hausa masu laifi, ina ganin sojoji da 'yan sanda za su ce shi ma Photoshop ne.",hausa
0,😂 LINK,english
1,Ọ ka na-ezo aka na nwaanyị dị ka a mara mma nwa nwaanyị 🙄🙄 biko na pussy jarumatised,igbo
0,A ti fẹ́ bẹ̀rẹ̀ ìjíròrò ààfin ààfin ààfin ààfin ààfin ààfin ààfin ààfin ààfin ààfin ààfin ààfin ààfin ààfin ààfin ààfin ààfin ààfin ààfin ààfin ààfin ààfin ààfin ààfin ààfin ààfin ààfin ààfin ààfin ààfin ààfin ààfin ààfin ààfin ààfin ààfin ààfin ààfin ààfin ààfin ààfinàfinàfinàfinàfinàfinàfinàfinàfinàfinàfinàfinàfinàfinàfinàfinàfinàfinàfinàfinàfinàfinàfinàfinàfinàfinàfinàfinàfinàfinàfinàfinàfinàfinàfinàfinàfinàfinàfinàfinàfinàfinàfinàfinàfinàfinàfinàfinàfinàfinàfinàfinàfinàfinàfinàfinàfinàfinàfinàfinàfinàfinàfinàfinàfinàfinàfinàfinàfinàfinàfinàfinàfinàfinàfinàfinàfinàfinàfinàfinàfinàfinàfinàfinàfinàfinàfinàfinàfinàfinàfinàfinàfinàfinàfinàfinàfinàfinàfinàfinàfinàfinàfinàfinàfinàfinàfinàfinàfinàfinàfinàfinàfinàfinàfinàfinàfinàfinàfinàfinàfinàfinàfinàfinàfinàfinàfinàfinàfinàfinàfinàfinàfinàfinàfinàfinàfinàfinàfinàfinàfinàfinàfinàfinàfinàfinàfinàfinàfinàfinàfinàfinàfinàfinàfinàfinàfinàfinàfinàfinàfinàfinàfinàfinàfinàfinàfinàfinàfinàfinàfinàfinàfinàfinàfinàfinàfinàfinàfinàfinàfinàfinàfinàfinàfinàfinàfinàfinàfinàfinàfinàfinàfinfinàfinàfinàfinàfinàfinàfinàfinàfinàfinfinàfinàfinfinfinfinfinfinfinfinfinfinfinfinfinfinfinfinfinfinfinfinfinfinfinfinfinfinfinfinfinfinfinfinfinfinfinfinfinfinfinfinfinfinfinfinfinfinfinfinfinfinfinfinfinfinfinfinfin,yoruba
0,": Christians, Pastors Call Us Idiots, Animals For Doing Our Job – Lagos FRSC Commander LINK .",english
0,Ihe nkiri a dum bụ atụmatụ iji kpochapụ ndị Alakụba na Kaduna nke dị n'ebe ndịda nanị n'ihi ịkpọasị dị ọcha maka Islam.,igbo
1,Ka ci gaba da yin aikin ubangijinka.,hausa
0,E nwere ndị ị ga-ezere n'ụdị ngwa a n'agbanyeghị ihe ọ bụla ọ ga-efu gị n'ihi ihe ndị dị ka nke a.,igbo
2,Just say the Arewa people/ Northern Muslims cos they seem to think extremely backwards. Muslims in the West and South are way better than them,english
0,"Idan ka ƙi, za ka ga yadda suke jin tsoron sarautar iyayengijinsu.",hausa
0,"Mo máa ń sọ pé, àwọn Igbo kò ní àkókò láti fi kórìíra ẹnikẹ́ni, àmọ́ àwọn tí wọ́n ń pè ní Niger-Deltans kò ní gbà pé ó yẹ kí wọ́n ṣe bẹ́ẹ̀.",yoruba
0,Nkwado Nkwado,igbo
2,Nye ụfọdụ ugwu mallo apụn,igbo
0,"Wani irin halittar da ta fi na mutane, ba ta tsufa ba.",hausa
0,Ụbọchị dị ebube na-abịanụ Bro Link,igbo
0,"•Suna ganin Boko Haram kuma suna gudu •Suna ganin makiyaya kuma suna gujewa •Suna ganin Masu zanga-zangar lumana, marasa makamai da kuma...",hausa
2,Za ka ja ni da baya kamar yadda na yi?,hausa
0,Tops haka kike??? LINK,english
1,"Stop that.
Jess! 
You just talk anyhow..
Nigeria is bad today because of this zuggi mentality.
Come out here to tell us it's good like 10k can feed you in a month.

Nonsense.
Sell Your vote oh, na check point you go soon find yourself, eating agbado and cassava.",english
0,Love you too,english
0,Dreamers FC... kana so su zo su yi wasa da Europa Abi,hausa
0,"Ụmụ nwanyị nile bụ ndị akwụna, ụmụ nwoke ndị nkịtị bụ ndị na-ahụ nwanyị dị mma................",igbo
0,Ndị ohu lọghachiri Naịjirịa ná mmalite afọ 1900 wetara cassava na ndịda Naịjirịa. Ha kụziiri ndị Nigerian...,igbo
0,Àjọ Pentagon Ṣe Ẹjọ́ Àwọn Ọ̀daràn Tó Ń Ṣe Ìsìn Kristẹni,yoruba
0,bruh. you dont need therapy i personally think you need to be told the truth.. your opinions dont matter.. and this guys replying you might have given you the wrong idea.. you are as irrelevant as everything else.. NO BODY CARES ABOUT YOU. mumu man.,english
2,"Innosson, Ibeto, Chinua Achebe, Chimamanda Adichie... da sauransu duk Igbos ne... Mumu mutum.",hausa
2,"Help me inform that Honourable Mrs to give her children and extended family to Fulani herdsmen to be killed and thereafter, i can take her serious. Useless",english
1,The world is full of idiots distributed strategically so that you can meet one per day.,english
0,Nwa akwụkwọ Eksu: Ịbụ onye na-eme ejiji adịghị eme m onye akwụna  Funmilayo Grace Retweet ma ọ bụrụ na ị kwenyere. Buhari Alụmdi na Nwunye June 2 Boko Haram Igbos Fulani South East Samklef Ego Laycon LINK,igbo
1,"All this groups alqeada ,isis,bolo Haram all are groups with that pretend to be Muslim but they re mostly unbebealivers they just use the name of Islam nd do what ever shit they like",english
2,"Àwọn àwòrán tí ó wá láti Benue ti jẹ́ ohun ìrẹ̀wẹ̀sì, 1 kò lè máà sọ pé ó ń ṣiyèméjì nípa ìwà títọ́ àwọn tó ń ṣe àwọn ìpànìyàn wọ̀nyí.",yoruba
1,"E-almajiri, shameless lots.",english
2,Most Igbo vying for Presidency position are Caliphate bred traitors – IPOB LINK LINK,english
0,Ìgbé ayé yìí kò ní ìmúratán,yoruba
1,"Ọ bụrụ na ha chọrọ ịma ma ha na-eme nke ọma dị ka ndị ndú. ha kwesịrị igwu egwu na Referendum ((Biafra, Yorexit) ma hụ ma ha ga-abịa ma rig ya.",igbo
0,LINK  Jesus loves you ❤️❤️,english
0,"Ọ bụ ihe ọzọ na ndị uwe ojii na ndị ohi NFT Game nke na-na AVAX Network. Dabere na m na-aghọta nke egwuregwu, i nwere 81% ohere iji nweta ihe Adventurer NFT, 9% ohere iji nweta a Hunter NFT na 10% ohere iji nweta ihe ọ bụla.",igbo
0,: WỌN ṢE ṢE ṢE ṢE ṢE ṢE ỌJỌ́ ỌJỌ́N ní ìjápá yìí,yoruba
2,Ìgbéyàwó àwọn ọkùnrin tí kì í ṣe ọkùnrin máa ń pa ìwà èèyàn run.,yoruba
1,Àwọn kan tó wà lábẹ́ ipò òṣì gidi ń gbọ́ pé àwọn ń gbèjà àwọn tó ń ṣàkóso ilẹ̀ ọba.,yoruba
0,Me,english
0,@ gaa nweta enyi gị nwaanyị,igbo
